# Date:     2017-10-18 19:39:03
# Database: phot
# Target:   bul2
# Query:    Ngood>=100 and Ngood<=1000 and I>=14 and I<=16 and Isig>=.1 and Isig<=.3 and Imed<=I 
# Objects:  1411
# Columns:
# Field	StarID	StarCat	RA	Decl	Pgood	I	Isig	Imed	Imederr
BUL_SC5	6015	175004.56-301951.6	17.834600	-30.33100	49	15.020	0.103	15.002	0.010
BUL_SC23	523985	175758.80-305126.4	17.966332	-30.85733	95	15.020	0.126	14.966	0.009
BUL_SC1	544131	180236.10-293251.5	18.043360	-29.54763	46	15.025	0.232	14.935	0.010
BUL_SC41	154976	175150.27-333508.9	17.863965	-33.58582	38	15.029	0.109	14.988	0.009
BUL_SC45	50277	180309.97-301219.1	18.052770	-30.20529	80	15.029	0.104	15.010	0.012
BUL_SC33	728186	180549.62-282725.5	18.097118	-28.45709	89	15.036	0.123	15.006	0.009
BUL_SC39	348387	175530.84-293643.6	17.925233	-29.61211	85	15.037	0.150	14.976	0.009
BUL_SC30	536830	180131.62-283426.3	18.025450	-28.57397	59	15.039	0.105	15.008	0.014
BUL_SC5	28576	174955.03-300510.4	17.831954	-30.08622	53	15.041	0.114	15.034	0.011
BUL_SC19	470116	180805.96-271202.6	18.134989	-27.20072	46	15.041	0.119	15.002	0.011
BUL_SC20	118571	175851.20-284908.9	17.980889	-28.81914	80	15.045	0.109	15.008	0.012
BUL_SC32	603734	180342.96-290430.4	18.061934	-29.07510	95	15.045	0.230	14.977	0.008
BUL_SC31	465806	180226.18-284440.4	18.040606	-28.74455	97	15.047	0.116	15.019	0.008
BUL_SC37	369978	175236.22-300833.2	17.876727	-30.14255	94	15.047	0.152	14.992	0.009
BUL_SC3	203203	175307.01-293009.6	17.885281	-29.50267	62	15.049	0.125	15.035	0.012
BUL_SC4	65995	175415.11-295106.1	17.904196	-29.85170	57	15.050	0.116	14.993	0.010
BUL_SC30	706296	180148.13-283821.7	18.030035	-28.63936	96	15.050	0.104	15.039	0.009
BUL_SC20	444659	175925.74-290950.5	17.990485	-29.16403	92	15.051	0.137	15.011	0.009
BUL_SC44	124987	174914.57-294529.7	17.820714	-29.75824	68	15.054	0.278	15.006	0.010
BUL_SC29	79789	174751.61-365704.5	17.797671	-36.95125	53	15.057	0.259	14.951	0.008
BUL_SC5	386267	175041.37-295057.3	17.844825	-29.84925	60	15.058	0.106	15.051	0.012
BUL_SC5	222974	175023.40-301334.1	17.839834	-30.22614	38	15.060	0.184	15.047	0.009
BUL_SC28	229829	174709.47-372038.3	17.785963	-37.34397	50	15.060	0.183	14.985	0.009
BUL_SC30	752600	180147.38-282151.3	18.029827	-28.36425	64	15.063	0.102	15.056	0.008
BUL_SC48	30341	172748.31-395104.8	17.463420	-39.85135	97	15.063	0.129	15.051	0.008
BUL_SC5	194564	175020.94-292918.7	17.839150	-29.48852	54	15.065	0.133	15.048	0.010
BUL_SC28	399461	174738.35-364024.7	17.793986	-36.67353	56	15.065	0.172	15.018	0.009
BUL_SC34	935006	175847.62-284447.3	17.979893	-28.74648	83	15.066	0.146	15.038	0.010
BUL_SC21	663246	180038.06-282623.6	18.010571	-28.43988	93	15.067	0.106	15.029	0.009
BUL_SC7	74126	180843.91-315919.2	18.145531	-31.98866	81	15.068	0.131	15.059	0.008
BUL_SC37	621602	175303.43-294241.1	17.884287	-29.71143	55	15.068	0.108	15.017	0.012
BUL_SC2	518285	180441.30-285016.8	18.078139	-28.83800	91	15.072	0.113	15.040	0.010
BUL_SC20	132002	175847.62-284447.3	17.979893	-28.74648	61	15.074	0.133	15.049	0.011
BUL_SC29	122542	174738.34-364024.7	17.793983	-36.67353	41	15.074	0.164	15.026	0.008
BUL_SC44	124972	174909.44-294552.6	17.819288	-29.76461	57	15.076	0.100	15.061	0.010
BUL_SC37	308969	175216.82-293328.2	17.871338	-29.55784	91	15.081	0.101	15.070	0.010
BUL_SC21	192195	180000.03-283303.2	18.000008	-28.55088	83	15.083	0.127	15.056	0.008
BUL_SC7	349457	180940.31-323321.3	18.161197	-32.55592	54	15.085	0.102	15.048	0.012
BUL_SC32	591836	180340.54-281305.5	18.061261	-28.21821	93	15.086	0.148	15.041	0.009
BUL_SC44	176280	174934.42-300706.9	17.826229	-30.11859	53	15.087	0.126	15.058	0.009
BUL_SC14	212822	174658.20-231759.0	17.782834	-23.29971	47	15.088	0.100	15.073	0.013
BUL_SC6	166524	180800.08-322132.9	18.133356	-32.35914	41	15.092	0.128	15.091	0.009
BUL_SC18	290894	180655.47-271535.2	18.115409	-27.25979	95	15.093	0.141	15.055	0.009
BUL_SC39	528357	175545.45-294000.6	17.929291	-29.66684	90	15.095	0.100	15.050	0.011
BUL_SC44	154174	174937.45-302110.2	17.827069	-30.35285	50	15.095	0.108	15.085	0.009
BUL_SC38	315555	180124.19-294335.0	18.023386	-29.72640	51	15.096	0.143	15.096	0.013
BUL_SC35	681229	180447.89-275654.4	18.079970	-27.94844	64	15.097	0.131	15.041	0.009
BUL_SC3	176203	175309.50-293721.4	17.885972	-29.62262	85	15.098	0.113	15.092	0.010
BUL_SC10	164819	181951.92-222748.3	18.331090	-22.46341	36	15.099	0.100	15.080	0.008
BUL_SC37	610969	175250.22-294440.7	17.880618	-29.74465	98	15.100	0.110	15.066	0.009
BUL_SC37	654941	175254.87-293007.4	17.881908	-29.50205	85	15.102	0.115	15.091	0.012
BUL_SC44	32492	174900.35-300119.5	17.816764	-30.02210	44	15.105	0.101	15.099	0.009
BUL_SC26	116522	174652.54-345158.2	17.781260	-34.86616	32	15.111	0.108	15.071	0.011
BUL_SC34	751973	175839.08-292704.3	17.977521	-29.45119	97	15.111	0.129	15.073	0.008
BUL_SC27	318793	174809.93-345255.0	17.802758	-34.88195	90	15.112	0.110	15.070	0.010
BUL_SC16	353786	180955.73-255231.0	18.165479	-25.87527	82	15.115	0.140	15.078	0.008
BUL_SC30	706222	180149.84-283918.2	18.030511	-28.65505	86	15.115	0.120	15.092	0.011
BUL_SC42	30269	180837.70-270650.5	18.143806	-27.11404	88	15.115	0.105	15.095	0.009
BUL_SC5	215991	175024.38-301650.5	17.840106	-30.28068	36	15.116	0.100	15.108	0.011
BUL_SC15	240734	174753.58-230351.7	17.798215	-23.06437	86	15.116	0.125	15.084	0.008
BUL_SC18	291111	180648.77-271313.3	18.113548	-27.22037	93	15.123	0.175	15.084	0.009
BUL_SC20	118566	175853.14-284913.7	17.981429	-28.82047	74	15.124	0.122	15.081	0.012
BUL_SC45	366302	180349.45-301715.6	18.063737	-30.28766	93	15.128	0.153	15.084	0.009
BUL_SC35	598349	180456.62-281824.3	18.082396	-28.30676	98	15.131	0.158	15.091	0.009
BUL_SC5	428580	175046.16-293057.2	17.846156	-29.51590	50	15.134	0.150	15.106	0.012
BUL_SC5	400019	175046.31-294517.2	17.846196	-29.75477	34	15.135	0.112	15.115	0.009
BUL_SC26	435465	174724.94-350407.7	17.790262	-35.06882	90	15.135	0.235	15.066	0.009
BUL_SC35	475660	180440.38-280334.1	18.077884	-28.05947	79	15.138	0.126	15.121	0.010
BUL_SC14	376191	174704.30-231136.4	17.784528	-23.19344	47	15.141	0.102	15.098	0.013
BUL_SC7	27908	180842.61-321853.3	18.145169	-32.31481	93	15.143	0.107	15.124	0.008
BUL_SC20	703203	175950.01-284855.9	17.997226	-28.81553	66	15.144	0.202	15.073	0.011
BUL_SC45	302322	180325.14-294422.2	18.056983	-29.73951	96	15.144	0.130	15.144	0.009
BUL_SC3	480206	175347.57-300511.4	17.896548	-30.08649	21	15.145	0.171	15.138	0.015
BUL_SC24	38293	175249.43-330607.6	17.880397	-33.10212	66	15.145	0.106	15.127	0.012
BUL_SC7	197748	180909.47-315519.7	18.152630	-31.92214	81	15.148	0.122	15.126	0.009
BUL_SC16	412166	181012.08-262550.8	18.170021	-26.43078	80	15.148	0.157	15.097	0.008
BUL_SC35	93405	180358.28-275904.5	18.066189	-27.98457	70	15.149	0.150	15.078	0.010
BUL_SC44	299506	174948.25-294305.0	17.830068	-29.71806	54	15.152	0.157	15.116	0.010
BUL_SC37	155552	175204.85-293204.3	17.868015	-29.53452	77	15.153	0.129	15.109	0.010
BUL_SC6	144224	180802.22-323108.1	18.133950	-32.51891	69	15.155	0.127	15.150	0.008
BUL_SC18	376698	180658.42-265049.9	18.116229	-26.84719	87	15.156	0.108	15.112	0.011
BUL_SC38	22339	180103.22-301610.0	18.017562	-30.26944	90	15.156	0.185	15.083	0.009
BUL_SC14	244731	174701.31-230522.7	17.783698	-23.08963	86	15.157	0.106	15.127	0.012
BUL_SC17	415154	181108.23-262305.8	18.185618	-26.38494	73	15.157	0.227	15.085	0.010
BUL_SC36	708950	180549.76-281046.9	18.097155	-28.17970	40	15.157	0.121	15.123	0.012
BUL_SC44	299480	174950.87-294344.7	17.830797	-29.72908	39	15.160	0.122	15.129	0.010
BUL_SC4	635550	175507.39-295656.1	17.918719	-29.94891	58	15.165	0.101	15.146	0.013
BUL_SC12	286105	181620.40-242032.7	18.272334	-24.34241	66	15.167	0.128	15.132	0.008
BUL_SC44	142884	174924.76-302738.6	17.823545	-30.46073	67	15.172	0.136	15.171	0.011
BUL_SC42	214418	180854.26-270028.7	18.148407	-27.00799	84	15.174	0.171	15.126	0.010
BUL_SC35	633227	180452.99-280937.2	18.081387	-28.16034	95	15.175	0.198	15.110	0.009
BUL_SC41	276977	175152.44-324906.0	17.864566	-32.81834	66	15.176	0.133	15.133	0.010
BUL_SC7	140397	180902.89-322500.2	18.150803	-32.41673	60	15.179	0.139	15.152	0.012
BUL_SC41	454342	175235.12-333512.3	17.876421	-33.58675	37	15.179	0.103	15.139	0.014
BUL_SC5	62614	174950.87-294344.8	17.830796	-29.72910	42	15.180	0.134	15.162	0.010
BUL_SC27	329963	174820.78-344829.5	17.805771	-34.80821	96	15.180	0.103	15.141	0.009
BUL_SC37	286423	175227.81-294047.4	17.874390	-29.67984	95	15.180	0.105	15.161	0.009
BUL_SC25	233854	175415.16-324957.0	17.904211	-32.83249	95	15.185	0.108	15.164	0.009
BUL_SC5	158644	175006.80-294617.2	17.835222	-29.77146	74	15.186	0.243	15.148	0.012
BUL_SC18	228912	180653.27-273217.8	18.114798	-27.53828	50	15.187	0.102	15.142	0.012
BUL_SC44	189256	174935.51-295635.8	17.826531	-29.94327	32	15.187	0.193	15.149	0.009
BUL_SC18	362	180644.30-273914.6	18.112305	-27.65407	95	15.188	0.238	15.092	0.009
BUL_SC21	156	175958.11-291857.6	17.999476	-29.31601	81	15.188	0.100	15.157	0.009
BUL_SC43	199942	173509.16-265839.7	17.585877	-26.97769	96	15.189	0.120	15.178	0.009
BUL_SC1	79930	180204.49-295834.2	18.034580	-29.97616	91	15.191	0.169	15.136	0.009
BUL_SC30	139659	180101.07-283604.3	18.016963	-28.60119	98	15.194	0.127	15.178	0.009
BUL_SC42	569400	180930.39-263447.1	18.158443	-26.57974	86	15.194	0.194	15.127	0.010
BUL_SC5	152129	175009.76-294948.0	17.836045	-29.83000	67	15.197	0.125	15.183	0.011
BUL_SC17	425152	181106.01-261737.5	18.185002	-26.29375	91	15.198	0.100	15.182	0.008
BUL_SC32	87692	180304.38-284017.0	18.051218	-28.67138	98	15.199	0.191	15.195	0.008
BUL_SC31	355278	180221.52-282101.4	18.039311	-28.35040	92	15.200	0.113	15.161	0.009
BUL_SC17	616518	181130.63-260655.1	18.191843	-26.11531	87	15.201	0.140	15.155	0.008
BUL_SC40	374208	175111.52-332520.2	17.853201	-33.42227	47	15.201	0.123	15.163	0.009
BUL_SC28	43959	174637.37-371004.7	17.777047	-37.16797	65	15.202	0.134	15.185	0.009
BUL_SC39	295964	175529.09-295050.8	17.924746	-29.84745	96	15.202	0.118	15.164	0.008
BUL_SC43	390403	173535.77-272124.0	17.593270	-27.35665	53	15.203	0.190	15.116	0.009
BUL_SC19	536959	180817.83-265031.6	18.138285	-26.84210	41	15.208	0.114	15.151	0.013
BUL_SC44	20181	174901.95-301020.3	17.817209	-30.17230	50	15.209	0.112	15.196	0.010
BUL_SC23	502386	175810.09-310044.5	17.969469	-31.01237	92	15.211	0.108	15.189	0.009
BUL_SC36	26510	180514.90-281519.6	18.087472	-28.25543	95	15.211	0.107	15.184	0.010
BUL_SC44	124979	174917.00-294546.1	17.821389	-29.76282	67	15.211	0.139	15.167	0.010
BUL_SC32	115210	180256.54-283246.2	18.049038	-28.54617	82	15.212	0.133	15.173	0.008
BUL_SC4	156336	175410.17-292622.4	17.902826	-29.43955	95	15.215	0.104	15.192	0.012
BUL_SC37	172223	175227.47-302203.7	17.874296	-30.36768	66	15.215	0.111	15.197	0.010
BUL_SC16	163434	180937.02-255358.6	18.160282	-25.89961	79	15.216	0.131	15.168	0.008
BUL_SC16	53063	180950.60-262605.8	18.164056	-26.43495	90	15.217	0.108	15.193	0.009
BUL_SC41	313569	175218.35-333056.4	17.871765	-33.51567	61	15.218	0.103	15.212	0.009
BUL_SC9	315814	182420.21-212653.1	18.405613	-21.44808	86	15.219	0.212	15.119	0.009
BUL_SC23	87043	175726.63-311258.1	17.957396	-31.21613	57	15.219	0.105	15.175	0.014
BUL_SC45	444593	180339.60-294950.3	18.060999	-29.83064	97	15.219	0.106	15.215	0.010
BUL_SC4	684581	175505.37-294211.3	17.918157	-29.70313	92	15.220	0.115	15.190	0.011
BUL_SC6	199506	180754.55-320648.6	18.131819	-32.11351	86	15.222	0.119	15.217	0.008
BUL_SC41	159	175145.51-333421.2	17.862643	-33.57255	55	15.222	0.106	15.185	0.011
BUL_SC14	244714	174657.19-230536.3	17.782554	-23.09341	92	15.223	0.177	15.160	0.009
BUL_SC13	195407	181655.76-240131.9	18.282156	-24.02551	92	15.225	0.107	15.184	0.009
BUL_SC30	593574	180149.10-291108.8	18.030304	-29.18579	86	15.226	0.139	15.220	0.011
BUL_SC34	255758	175814.55-293433.9	17.970707	-29.57609	41	15.227	0.109	15.197	0.014
BUL_SC43	431371	173535.53-270143.3	17.593203	-27.02868	94	15.228	0.192	15.161	0.009
BUL_SC44	24665	174852.87-300719.4	17.814686	-30.12206	42	15.229	0.177	15.204	0.011
BUL_SC46	180701	180427.57-301956.0	18.074324	-30.33222	95	15.229	0.112	15.201	0.010
BUL_SC26	447253	174721.08-350050.5	17.789188	-35.01404	97	15.230	0.107	15.194	0.009
BUL_SC44	232983	174945.28-302608.7	17.829243	-30.43576	45	15.231	0.105	15.217	0.010
BUL_SC26	91664	174649.16-345729.1	17.780322	-34.95809	86	15.233	0.146	15.205	0.010
BUL_SC3	513414	175337.93-295535.5	17.893871	-29.92651	98	15.236	0.114	15.232	0.009
BUL_SC14	418161	174705.70-225700.8	17.784916	-22.95022	77	15.236	0.125	15.216	0.009
BUL_SC30	299110	180110.20-284952.3	18.019499	-28.83120	84	15.236	0.158	15.187	0.011
BUL_SC44	205493	174931.15-294709.6	17.825319	-29.78600	45	15.236	0.107	15.231	0.010
BUL_SC6	260467	180755.28-314015.6	18.132021	-31.67099	71	15.238	0.106	15.199	0.012
BUL_SC8	136691	182253.14-215619.3	18.381427	-21.93869	74	15.238	0.103	15.204	0.011
BUL_SC44	24643	174858.08-300815.8	17.816133	-30.13772	30	15.241	0.145	15.240	0.009
BUL_SC45	67539	180304.65-300807.0	18.051292	-30.13527	75	15.241	0.102	15.215	0.012
BUL_SC15	502275	174834.96-231538.2	17.809712	-23.26062	54	15.242	0.165	15.177	0.009
BUL_SC31	23420	180158.27-285637.3	18.032852	-28.94369	93	15.242	0.122	15.241	0.010
BUL_SC32	128344	180310.27-282726.9	18.052853	-28.45746	47	15.243	0.113	15.195	0.013
BUL_SC25	286413	175418.22-323254.0	17.905060	-32.54835	87	15.245	0.114	15.190	0.010
BUL_SC44	65347	174914.84-302734.5	17.820790	-30.45958	60	15.248	0.124	15.245	0.011
BUL_SC7	376495	180938.43-321834.2	18.160675	-32.30951	51	15.249	0.106	15.217	0.013
BUL_SC37	349013	175232.94-301526.0	17.875818	-30.25721	83	15.249	0.165	15.184	0.012
BUL_SC42	193054	180856.34-270725.3	18.148984	-27.12369	89	15.250	0.137	15.208	0.009
BUL_SC5	271197	175036.01-294632.7	17.843336	-29.77576	62	15.252	0.115	15.238	0.012
BUL_SC5	428540	175051.28-293147.7	17.847577	-29.52992	28	15.255	0.132	15.241	0.011
BUL_SC26	116575	174650.76-345007.4	17.780767	-34.83539	83	15.258	0.293	15.167	0.009
BUL_SC47	238866	172724.83-400145.8	17.456898	-40.02939	98	15.258	0.180	15.199	0.009
BUL_SC23	513216	175758.22-305732.4	17.966171	-30.95900	90	15.260	0.119	15.221	0.010
BUL_SC5	145570	175012.81-295428.8	17.836891	-29.90799	44	15.261	0.105	15.237	0.012
BUL_SC33	177031	180514.47-283009.5	18.087354	-28.50264	86	15.261	0.185	15.217	0.009
BUL_SC16	320047	181002.74-260036.7	18.167428	-26.01020	76	15.262	0.119	15.255	0.012
BUL_SC36	766581	180552.90-275538.8	18.098029	-27.92744	89	15.262	0.102	15.215	0.011
BUL_SC33	122314	180500.77-284522.9	18.083547	-28.75636	76	15.269	0.135	15.227	0.009
BUL_SC38	672066	180154.00-294201.6	18.031666	-29.70044	97	15.270	0.210	15.252	0.010
BUL_SC42	72107	180846.59-265523.4	18.146274	-26.92316	50	15.271	0.104	15.221	0.012
BUL_SC3	537754	175342.32-294954.0	17.895089	-29.83167	93	15.274	0.137	15.219	0.009
BUL_SC44	40247	174850.44-295304.6	17.814010	-29.88462	34	15.276	0.111	15.234	0.011
BUL_SC35	193397	180400.82-273127.4	18.066895	-27.52427	88	15.282	0.189	15.213	0.010
BUL_SC5	146	174956.49-302244.2	17.832359	-30.37894	39	15.283	0.117	15.273	0.012
BUL_SC5	158613	175011.97-294703.4	17.836658	-29.78429	66	15.283	0.265	15.210	0.012
BUL_SC14	366454	174709.26-231749.6	17.785907	-23.29711	54	15.283	0.156	15.232	0.010
BUL_SC7	65978	180837.75-320302.9	18.143819	-32.05079	70	15.284	0.110	15.253	0.010
BUL_SC35	717204	180458.70-274256.9	18.082971	-27.71580	45	15.284	0.110	15.253	0.015
BUL_SC33	528222	180544.82-283422.5	18.095782	-28.57290	77	15.285	0.108	15.238	0.012
BUL_SC29	484975	174838.75-364017.9	17.810763	-36.67164	90	15.286	0.109	15.271	0.009
BUL_SC21	380213	180018.96-284200.5	18.005267	-28.70014	98	15.288	0.125	15.246	0.010
BUL_SC19	351140	180754.58-265334.7	18.131828	-26.89297	94	15.290	0.144	15.228	0.009
BUL_SC1	23991	180208.83-301718.0	18.035786	-30.28832	91	15.294	0.107	15.292	0.009
BUL_SC2	400625	180416.35-283035.0	18.071210	-28.50971	89	15.294	0.162	15.253	0.010
BUL_SC5	49774	174951.97-295031.0	17.831103	-29.84195	44	15.294	0.105	15.282	0.011
BUL_SC7	96913	180837.70-314719.5	18.143805	-31.78874	67	15.294	0.102	15.255	0.010
BUL_SC31	612158	180252.76-290006.6	18.047990	-29.00184	94	15.296	0.123	15.274	0.010
BUL_SC6	224971	180758.16-315523.6	18.132822	-31.92323	86	15.297	0.140	15.282	0.009
BUL_SC20	145654	175850.11-284132.7	17.980585	-28.69243	63	15.297	0.100	15.280	0.013
BUL_SC45	189619	180333.92-302351.5	18.059423	-30.39763	97	15.299	0.173	15.291	0.009
BUL_SC21	407743	180011.94-283618.0	18.003317	-28.60501	97	15.300	0.228	15.224	0.010
BUL_SC30	113572	180104.27-284326.1	18.017852	-28.72392	97	15.302	0.131	15.268	0.009
BUL_SC38	292303	180122.43-295112.3	18.022897	-29.85341	98	15.302	0.126	15.289	0.008
BUL_SC24	200815	175310.24-330618.1	17.886178	-33.10503	60	15.305	0.120	15.276	0.010
BUL_SC12	438049	181626.93-241052.3	18.274147	-24.18120	78	15.307	0.108	15.269	0.009
BUL_SC16	594125	181030.84-262439.7	18.175234	-26.41102	74	15.307	0.107	15.273	0.009
BUL_SC44	134578	174916.31-293823.7	17.821197	-29.63992	52	15.309	0.106	15.284	0.010
BUL_SC5	292507	175025.87-293614.5	17.840519	-29.60402	61	15.316	0.104	15.300	0.011
BUL_SC7	183076	180856.66-320156.8	18.149072	-32.03244	97	15.316	0.117	15.263	0.009
